Accession,Submitters,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_055724,"Skurnik,M.",2021-06-02T00:00:00Z,,Yersinia phage fPS-65,dsDNA,167058,,,Yersinia,,
NC_055725,"Chiriac,C., Salcher,M., Ghai,R., Kavagutti S,V.",2021-06-02T00:00:00Z,,uncultured Caudovirales phage,dsDNA,36306,,,,,
NC_055726,"Kajsik,M.",2021-06-02T00:00:00Z,,Cronobacter phage Pet-CM3-4,dsDNA,171975,,,Cronobacter malonaticus LMG 23826,,
NC_055727,"Kim,D., Kim,Y.J., Han,B.K., Kim,H.",2021-06-02T00:00:00Z,,Proteus phage PM2,dsDNA,163469,,,Proteus mirabilis,,
NC_055728,"Chen,B., Akusobi,C., Fang,X., Salmond,G.P.C.",2021-06-02T00:00:00Z,,Serratia phage X20,dsDNA,172450,United Kingdom,,Serratia sp. ATCC 39006,,2014-03-01
NC_055729,"van Zyl,L.J., Abrahams,Y., Stander,E.A., Kirby,B.M., Clavaud,C., Farcet,C., Breton,L., Trindade,M.I.",2021-06-02T00:00:00Z,,uncultured Caudovirales phage,dsDNA,32618,,,,,
NC_055730,"Evtimov,V.S., Islam,E., Mammen,M.P., Apellido,K.A., Balchander,D., Eluri,N.R., Gupta,A., Koa,B.D., Koduri,S., Meka,S., Menon,A.S., Mortazavi,S., Pettigrew,T.D., Raju,F.M., Schill,C.N., Singh,S.P., Siu,S.T., Smith,C.J., Varandani,S., Dalia,R., Gurney,S.M.R., Little,J.L., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage Geralt,dsDNA,55765,"USA: Philadelphia, PA",PA,Mycolicibacterium smegmatis MC2 155,,2015-10-01
NC_055731,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Kabluna,dsDNA,65869,USA: Pittsburgh PA,PA,Gordonia terrae,,2016-10-01
NC_055732,"Choi,Z., Grubb,S., Kuchan,S., Pennathur,K., Roskowski,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Patio,dsDNA,66251,USA: Pittsburgh PA,PA,Gordonia terrae,,2016-10-01
NC_055733,"Zulkarneev,E.R., Aleshkin,A.V., Rubalsky,O.V., Kiseleva,I.A., Rubalskii,E.O., Lebedev,S.N.",2021-06-02T00:00:00Z,,Aeromonas phage Ah1,dsDNA,221116,Russia,,Aeromonas hydrophila,,
NC_055734,"Zhao,X.",2021-06-02T00:00:00Z,,Shigella phage phi25-307,dsDNA,167544,,,Shigella sonnei,,
NC_055735,"Kauffman,K.M., Hussain,F.A., Yang,J., Arevalo,P., Brown,J.M., Chang,W.K., VanInsberghe,D., Elsherbini,J., Cutler,M.B., Kelly,L., Polz,M.F.",2021-06-02T00:00:00Z,,Vibrio phage 1.238.A._10N.261.52.F10,dsDNA,70494,"USA: Massachusetts, Nahant, Canoe Cove",MA,Vibrio breoganii,,2010-09-18
NC_055736,"Kauffman,K.M., Hussain,F.A., Yang,J., Arevalo,P., Brown,J.M., Chang,W.K., VanInsberghe,D., Elsherbini,J., Cutler,M.B., Kelly,L., Polz,M.F.",2021-06-02T00:00:00Z,,Vibrio phage 1.245.O._10N.261.54.C7,dsDNA,71702,"USA: Massachusetts, Nahant, Canoe Cove",MA,Vibrio breoganii,,2010-09-18
NC_055737,"He,Y., Yang,H.",2021-06-02T00:00:00Z,,Proteus phage phiP4-3,dsDNA,167849,China,,Proteus penneri,,2013-06-01
NC_055738,"Freeman,E., St-Pierre,M., Tero,B., Wilson,B., King,B., Molloy,S.D., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Flapper,dsDNA,67527,"USA: Orono, ME",ME,Gordonia terrae,,2016-09-10
NC_055739,"Ramesh,N., Prasanth,M., Tamhankar,A.J., Lundborg,C.S.",2021-06-02T00:00:00Z,,Enterobacter phage myPSH1140,dsDNA,172614,India,,Enterobacter cloacae,,2015
NC_055740,"Li,P., Wang,J., Tong,Y.",2021-06-02T00:00:00Z,,Enterobacteria phage vB_EcoM_IME281,dsDNA,170531,,,Escherichia coli BL21(DE3),,
NC_055741,"Li,P., Wang,J., Tong,Y.",2021-06-02T00:00:00Z,,Enterobacteria phage vB_EcoM_IME339,dsDNA,164366,,,Escherichia coli BL21(DE3),,
NC_055742,"Li,P., Wang,J., Tong,Y.",2021-06-02T00:00:00Z,,Enterobacteria phage vB_EcoM_IME341,dsDNA,172379,,,Escherichia coli BL21(DE3),,
NC_055743,"Carstens,A.B., Djurhuus,A.M., Hansen,L.H.",2021-06-02T00:00:00Z,,Erwinia phage Cronus,dsDNA,175774,Denmark,,Erwinia amylovora,,
NC_055744,"You,S.",2021-06-02T00:00:00Z,,Synechococcus phage S-B64,dsDNA,151867,China,,Parasynechococcus marenigrum WH 8102,,2015-08-01
NC_055745,"Montgomery,M.T., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Petra,dsDNA,52304,"USA: Pittsburgh, PA",PA,Gordonia westfalica,,2016-05-01
NC_055746,"Kolsut,J., Wojcik,E., Wojtasik,A., Dastych,J.",2021-06-02T00:00:00Z,,Aeromonas phage 50AhydR13PP,dsDNA,164983,Poland,,Aeromonas hydrophila,,2013
NC_055747,"Kolsut,J., Wojcik,E., Wojtasik,A., Dastych,J.",2021-06-02T00:00:00Z,,Aeromonas phage 60AhydR15PP,dsDNA,165795,Poland,,Aeromonas hydrophila,,2013
NC_055748,"Boeckman,J.X., Lessor,L., Gill,J.J., Liu,M., Gill,J.",2021-06-02T00:00:00Z,,Klebsiella phage Mineola,dsDNA,166130,"USA: Bryan, TX",TX,Klebsiella pneumoniae,,2016-10
NC_055749,"Juharul Zaman,S.F., Mat Arip,Y., Mohamad Zawawi,N.A., Mohd Tawfid,M.H.A.",2021-06-02T00:00:00Z,,Escherichia phage SF,dsDNA,168695,Malaysia,,Escherichia coli O157:H7,,2011
NC_055750,"Carpenter,C.J., Mulvenna,A.L., Najjar,D.S., Ball,S.L., Breitenberger,C.A., Daniels,C.J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage KingTut,dsDNA,64827,"USA: Columbus, OH",OH,Mycolicibacterium smegmatis MC2 155,,2015-09-01
NC_055751,"Brown,M.E., Griffith,B.C., Chatowsky,O.R., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Danyall,dsDNA,58695,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2016-10-01
NC_055752,"Butela,K.A., Beechy,J.R., Bowers,R.A., Brown,K., Burden,T.M.M., Constantin,J.B., Cosey,L.N., DeFalco,A.N., Evans,J.M., Farian,V.D., Ference,A.R., Fusco,T.M., Harris,K.R., Harris,S.M., Heitzenrater,A.R., Hirak,C.P., Hudson,E., Huffine,U.N., Jablonski,G.C., Johnson,D.L.K., Johnston,A.N., Jones,D.E., Kuniega,E.A., Laird,M.S., Lamberson,P.E., Lucas,H.E., Lukacs,M.K., Meyer,R.A., Moffat,K.N., Moore,T.C., Moran,Z.C., Musser,B.A., Nestor,M.J., Offman,C.M., Opalka,N.M., Pickford,V., Poll,E.K., Reinhart,L.R., Rucker,C., Semekoski,S.T., Shaffer,K., Skatell,A.C., Sloan,M., Susi,N.R., Woitkowiak,H.C., Harvey,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage KimmyK,dsDNA,58755,"USA: Greensburg, PA",PA,Gordonia terrae,,2016-10-01
NC_055753,"Roth,S.J., Strobel,J.T., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Rofo,dsDNA,58767,"USA: Royersford, PA",PA,Gordonia terrae,,2016-10-01
NC_055754,"Wilcox,A.R., Moreau,A.T., Smith,K.J., Muktar,S., Laizer,K.M., Doty,J.S., Breton,T.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Frokostdame,dsDNA,52531,USA: Farmington ME,ME,Gordonia terrae,,2017-10-01
NC_055755,"Burkert,N.A., Costello,E., Grana,D.J., Pejavara,N.C., Picknally,G.M., Christen,E.M., Williams,K.C., Merlino,C.O., McCann,M.P., Lee-Soety,J.Y., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage NatB6,dsDNA,67081,"USA: Audubon, PA",PA,Gordonia terrae,,2016-10-01
NC_055756,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2021-06-02T00:00:00Z,ctcc615,CrAssphage sp.,dsDNA,90023,USA,,,,2017-06-01
NC_055757,"Lee,C., Choi,I.Y., Park,D.H., Park,M.-K.",2021-06-02T00:00:00Z,,Escherichia virus KFS-EC,dsDNA,164715,South Korea,,Escherichia coli O157:H7,,2016-05-16
NC_055758,"Alvarado,S.M., Barker,E., Bowland,E., Casson,L., Fisher,J., Fowler,G., Gulsby,M., Hinrichsen,M., Lopez,O.E., Rodriguez,G., Saults,R., Semaan,N., Smock,A., Soto,R., Summers,E., Thompson,K., Wakeland,C., Williams,S., Woolfolk,C., Chung,H., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Pleakley,dsDNA,64105,"USA: Pensacola, FL",FL,Gordonia terrae,,2017-10-01
NC_055759,"Miller,T.W., Bachhofer,D.L., Cooper,A., Doty,J.C., Katuri,J., Musgrave,J.W., Palumbo,A.J., Spann,H.O., Edwards,J.C., Meik,J.M., Edwards,D.C., Warner,M.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage Ryadel,dsDNA,72658,"USA: Stephenville, TX",TX,Mycolicibacterium smegmatis MC2 155,,2017-09-10
NC_055760,"Tisza,M., Buck,C., Pastrana,D., Welch,N., Peretti,A.",2021-06-02T00:00:00Z,ctbg_1,CrAssphage sp.,dsDNA,94878,USA,,,,2017-06-01
NC_055761,"Chenard,C., Kolundzija,S., Lauro,F.M.",2021-06-02T00:00:00Z,,Synechococcus virus S-PRM1,dsDNA,144311,Singapore: Pasir Ris,,Synechococcus sp. WH 7803,,2016-10-05
NC_055762,"Ambarian,M., Chen,H., Alkhars,H., Bruner,M., Warner,M.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Angelicage,dsDNA,59215,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-01-10
NC_055763,"Burke,E.M., Good,S., Jeffords,E.T., Pearson,M., Sohlstrom,A., Westholm,D.E., Butela,K.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Marietta,dsDNA,64370,"USA: Duluth, MN",MN,Gordonia terrae,,2017-10-01
NC_055764,"Paudel,S., Allison,O., Bailey,A.D., Brown,D.S., Bonilla,M.E., Bonilla,Y.V., Cates,D., Carrothers,E.I., Chibueze,J., Davis,M.L., DelaEspriella,B.L., Draper,A., Fleury,J.A., Guzman,S., Hibbitts,D., Johnson,I.J., Liu,A., McGeady,S.J., Nelson,T.K., Parrish,M.E., Pete,A.B., Reed,J., Burgos,S.B., Summer,D.S., Washington,A.O., Belay,S., Gibbs,K.A., Guillen,V.E., Modlin,S.E., Buchser,W.J., Forsyth,M.H., Saha,M.S., Butela,K.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Skysand,dsDNA,67359,"USA: Williamsburg, VA",VA,Gordonia terrae,,2016-10-01
NC_055765,"Washington,J.M., Stoner,K.N., Veracka,M., Ewers,R.M., Paschalis,M.I., Maciver,D.B., Nichols,C.D., Santiago,X., Osorio,S.M., Scaff,D.S., Mercado,F.J., Tamondong,K.G., Nicholson,R.L., Antonucci,M.K., Anger,G.K., Petit-Frere,T., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage TillyBobJoe,dsDNA,58677,"USA: Fairlawn, NJ",NJ,Gordonia terrae,,2016-10-01
NC_055766,"Duda,J.M., Larson,A.P., Nowak,S., Ricci,M.J., Westholm,D.E., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Foxboro,dsDNA,67773,"USA: Foxboro, WI",WI,Gordonia terrae,,2017-10-01
NC_055767,"Ardery,S.C., Daly,K.B., Whitehead,I.W., Huttelmaier,S.A., Tobiason,D.M., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage KidneyBean,dsDNA,67802,"USA: Kenosha, WI",WI,Gordonia terrae,,2017-10-01
NC_055768,"Kozlova,Y.N., Morozova,V.V., Tikunov,A.Y., Klopotova,M.R., Fofanov,M.V., Tikunova,N.V.",2021-06-02T00:00:00Z,,Klebsiella phage KP179,dsDNA,162630,Russia,,Klebsiella pneumoniae,,
NC_055769,"Deleon-Fernandez,R.L., Jaramillo-Canas,A.J., Reyes-Pena,L.A., Colon-Santos,M., Contreras-Santini,J., Cruz-Pauneto,O.A., Deanca-Maldonado,G., Fernandez-Martinez,M., Vazquez,E., Rubin,M.R., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Turuncu,dsDNA,66808,Puerto Rico: San Juan,,Gordonia terrae,,2016-10-01
NC_055770,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Buggaboo,dsDNA,68626,"USA: Charleston, SC",SC,Gordonia terrae,,2016-10-01
NC_055771,"Conover,I., Larosa,D., Mckinnon,K., Vanderploeg,E., Magennis,E., Huttelmaier,S.A., Tobiason,D.M., Delesalle,V.A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Emianna,dsDNA,68190,"USA: Kenosha, WI",WI,Gordonia terrae,,2016-10-01
NC_055772,"Aaron,K.S., Aaron,A., Almond,C.M., Armstrong,D.J., Arnold,T.D., Atiyeh,M., Austin,C.J., Baker,T.S., Bilger,V.C., Boggan,A.O., Cadieux,A.J., Carroll,K., Castro,M.I., Cole,A.L., Coleman,K.V., Copeland,L.C., Dickinson,S.A., Earl,J.S., Esekhaigbe,O.A., Everett,B.E., Everhardt,M.B., Foster,K.E., Galloway,E., Glover,L., Gregory,K.R., Gunn,D.S., Hall,H.D., Hancock,R.E., Hauth,J.T., Hawkins,C.P., Hayes,H.S., Heathcock,S., Hill,C.D., Hill,T., Ibe-Cumba,A.M., Israil,A.R., Jackson,B.R., Jones,K.L., King,G.B., Last,N.R., Lee,C.E., Leger,A.E., Lindley,S.B., Martinez,M., McKinney,W.R., McWhirter,S., Mercer,J.M., Nachajski,K., Newton,M.A., Nguyen,M.T., Northington,A.L., Nuss,P.C., Osborn,S.L., Ozley,R.E., Palmieri,J.N., Perry,C.A., Plump,L.M., Prewitt,D.E., Rafferty,A.M., Rafford,M.E., Ragland,C.L., Ragland,J.L., Reynolds,H.A., Robbins,T.J., Ryan,A.D., Sharit,M.C., Sharp,M.L., Simpson,D.M., Simpson,A., Smith,S.P., Smith,M.E., Springer,J.G., Standridge,B., Stickley,J.L., Strain,M.R., Walker,T.L., Weeks,A.C., Williamson,J., Quinn,C.E., Monti,D.L., Claughton,R.M., Riley,T.A., Yancie,K.G., Brown,C.E., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Corynebacterium phage Kimchi1738,dsDNA,66915,"USA: Birmingham, AL",AL,Corynebacterium vitaeruminis,,2016-08-30
NC_055773,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Ailee,dsDNA,58474,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-10-01
NC_055774,"Bortz,R.L., Adams,R., Ball,A.M., Boyd,J.M., Bright,N.M., Cartwright,S., DeHaven,M.P., Divens,A.M., Fritz,T.R., Gaeta,N.J., Gibbs,J.R., Goodwin,N.G., Hopkins,M., Ibrahim,F.R., Kruger,O.T., Kwak,J.M., Manko,C.D., Martin,R.J., McDermott,B., Sheth,R., Subramanian,A., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Bibwit,dsDNA,57880,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-10-01
NC_055775,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Fosterous,dsDNA,59136,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-01-01
NC_055776,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Geodirt,dsDNA,59495,"USA: Caldwell, Idaho",ID,Gordonia terrae,,2017-01-01
NC_055777,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Nordenberg,dsDNA,57572,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-01-01
NC_055778,"Callewaert,L.A., Cohen,R.L., Korth,P.A., Kukkillaya,M., Li,J.D., Bortz,R.L., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Stultus,dsDNA,57916,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-10-01
NC_055779,"Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Tangent,dsDNA,58281,USA: Pittsburgh PA,PA,Gordonia terrae,,2018-01-08
NC_055780,"Bringhurst,R.M.",2021-06-02T00:00:00Z,,Escherichia phage MLF4,dsDNA,167379,,,Escherichia coli,,
NC_055781,"Howard-Varona,C., Vik,D.R., Solonenko,N.E., Li,Y.-F., Gazitua,M.C., Hobbs,Z., Honaker,R.W., Kinkhabwala,A.A., Sullivan,M.B.",2021-06-02T00:00:00Z,,Escherichia phage p000v,dsDNA,167803,,,Escherichia coli,,
NC_055782,"Ji,L.",2021-06-02T00:00:00Z,,Escherichia phage AnYang,dsDNA,169215,China,,Escherichia coli O157,,
NC_055783,"Shahin,K., Bao,H., Wang,R.",2021-06-02T00:00:00Z,,Escherichia phage vB_EcoM_005,dsDNA,155101,China,,Escherichia coli O157:H7,,2017-04-01
NC_055784,"Huang,S.",2021-06-02T00:00:00Z,,Vibrio virus vB_VspP_SBP1,dsDNA,78071,China,,Vibrio,,2014-10-24
NC_055785,"Swarthout,J.L., Sangappa,S.J., Brangman,K.A., Patel,K.S., Villarin,B.I., Kraftician,J.D., Stevenson,A.R., Manikandan,S., Moore,E.M., Bortz,R.L., Warner,M.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Mutzi,dsDNA,59655,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2017-02-10
NC_055786,"Broussard,A.C., Carter,S.T., Coggin,J.S., Cramer,N.A., Crawford,A.P., Crespo,I.A., DeBellas,B.V., Dodd,E.C., Ellis,C.M., Ellison,A.M., Hidalgo,M.O., Janoski,J.R., Kim,I., Kovats,T.A., Lerdritsomboon,C., Lynam,C.H., McKenna,C.M., Meyer,C.M., Nickerson,B.H., Oberle,N.R., Olenick,B.R., Pitts,Q.F., Raeesian,S.A., Raney,S.B., Reyes,P.J., Rivera,G.J., Simon,A.M., Smith,R.M., Tran,C.A., Truban,R.G., Van,V., Voshell,S.M., Walker,C.L., Walter,M.E., Whalley,N.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage CicholasNage,dsDNA,71059,"USA: Blacksburg, VA",VA,Mycolicibacterium smegmatis MC2 155,,2017-08-29
NC_055787,"Arabshahi,J., Bell,S., Chan,J., Haskins,E., Kerstiens,E., Novak,L., Okekeogbu,I., Otero,A., Smith,G., Li,Y., Clase,K.L., Curtis,N., Kistler,A.B., Roscher,J.E., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage Ochi17,dsDNA,58069,"USA: West Lafayette, IN",IN,Mycolicibacterium smegmatis MC2 155,,2017-10-01
NC_055788,"Febre-Alemany,D.A., Fernandez-Morales,A.P., Figueroa-Rodriguez,V.A., Fumero-Velazquez,J., Galindez-Couvertier,J.M., Morales-Colon,V.I., Ocasio-Caldero,C.E., Perez-Torres,A.D., Pescador-Vega,R.F., Rivera-Rodriguez,A.M., Fernandez-Martinez,M., Rubin,M.R., Vazquez,E., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage NosilaM,dsDNA,67662,Puerto Rico: Cayey,,Gordonia terrae,,2016-10-01
NC_055789,"Gales,J.M., Amanuel,B.M., Anspach,C.J., Chiquito,R.J., Hall,J.T., Hotaki,K., Lozano,B., Aloor,H.L., Leadon,S.A., Fogarty,M.P., Washington,J.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage IDyn,dsDNA,65218,"USA: Durham, NC",NC,Gordonia terrae,,2017-10-01
